paragraph,is_coherent
"The aircraft was resting on a magnetic heading of 320 degrees in a grass field located approximately 1/4 mi west southwest of the private airstrip. There was no ground scarring present in the area around the resting position of the aircraft. There was no evidence of fire. The aircraft's wing leading edges and nose section exhibited a crush angle of approximately 45 degrees. Aileron, elevator and rudder flight control continuity was established. Elevator trim was in the neutral position. Examination of the carburetor bowl and accelerator pump did not reveal fuel. One drop of liquid was noted when the fuel line leading to the carburetor disconnected. There was no liquid in each fuel tank. The engine tachometer showed 1,900 rpm. The last inspection of the airframe was a 100-hour inspection completed on June 26, 1996.",1
"The pilot of the incident airplane said that in-flight at 1800 feet above mean sea level, the engine seized, the propeller bolts sheared, the propeller fell to the ground, and that he landed the airplane without any damage to the airplane. During an inspection of the engine, a 'B' nut on the oil pressure line to the turbocharger was found loose. The cylinders in the area of the 'B' nut were found with a dark, oily substance coating them. The turbocharger and its housing were found with a dark, charred, oily substance on it. Number one, four, five, and six crankshaft journals revealed distress. The number one crankshaft journal was found blue. The number four connecting rod was found broken and colored blue. The number four cylinder head was found separated from its base. The propeller hub and engine crankshaft flange mating surfaces were found with areas of distress. Three of the studs that held the propeller to the crankshaft flange were found with their fracture initiating on opposite sides of those studs. A top overhaul was performed 85 tachometer hours prior to the accident.",1
"The pilot flew into the airport to pick up a second passenger and refuel. After refueling and recalculating the weight and balance, the pilot called AFSS for an updated weather briefing. The pilot filed an IFR flight plan and received an IFR clearance and void time. During this time, a snow squall began. Witnesses saw the two passengers sweeping snow off of the airplane's wings prior to departure, but not the horizontal stabilator. While taxiing to the runway for departure, the pilot acknowledged the UNICOM that the winds were out of the east at 8-10 knots. A witness noted the visibility was approximately 1/4 mile in heavy snow when the airplane departed runway 27. The airplane struck trees approximately a 1/2 mile from the runway. A passenger stated that there were no engine problems prior to hitting the trees. The pilot did not report any mechanical deficiencies with the airframe or engine. On-site examination of the airplane revealed no mechanical deficiencies with the airframe or engine.",1
"The pilot was on a local flight to demonstrate the airplane to someone interested in purchasing the same make and model. While on final approach, the airplane lost power and came to rest suspended in a tree during the subsequent forced landing. The Fire Chief responded to the scene. He said, 'The nose was straight down in the trees. The fuel was dripping from the right wing, whether it was running from the left side and dripping from the right, I can't tell you.' Examination of the airplane by a Federal Aviation Administration (FAA) Airworthiness Inspector revealed the left fuel tank was compromised during the accident sequence. The right fuel tank was intact and contained no fuel. The airplane's engine started and ran on the airframe utilizing the airplane's own fuel system. The pilot said that a review of his records revealed the airplane had flown approximately 2-2.5 hours since the last fuel service. The pilot estimated his fuel burn rate averaged 10 gallons per hour. The airplane had a fuel capacity of 26 gallons per wing tank for a total of 52 gallons.",1
"The pilot and passenger had flown to northern California for dental work to be performed on the pilot. On the return trip they were receiving VFR advisories from ATC. They were maintaining VFR on top at 14,500 feet msl. A voice thought to be the passenger, who was a rated pilot, transmitted 'we're in big trouble up here' followed by other incomplete or unreadable transmissions. The airplane was lost from radar and radio contact. The wreckage was located in mountainous terrain. The airplane had collided with terrain while in a near vertical attitude. The pilot had obtained a preflight weather briefing prior to flight, and VFR was not recommended. A formal weather study indicated that the airplane most likely flew into clouds. Conditions were conducive for light to moderate rime icing in clouds at the airplane's flight altitude. The time was 11 minutes before official sunset in cloudy conditions.",1
"The helicopter was positioning next to a powerline tower, in an out of ground effect hover. During the hover, the engine out warning horn sounded, alerting the pilot of a possible power loss. The pilot backed the helicopter away from the tower, lowered the collective, and turned to the left to avoid the tower. Approximately 10-15 feet above the ground, the engine lost additional power, and descended rapidly. Just prior to impact, the pilot applied maximum collective, and the helicopter landed hard. After landing, the engine was shut down by the pilot. The engine was removed and accelerated in a test cell from 70 percent to 95 percent torque. No discrepancies were noted, and power calibrations were computed. The computed power calibrations revealed that the engine was producing 12 percent more than rated power. The fuel control unit was removed from the engine, inspected, and tested. No conditions were found that would have prohibited the unit from operating normally at the time of the incident.",1
"The airplane pushed back from the gate, and taxied to runway 18L. While taxing, the crew heard no mention of a bird hazard by another aircraft or air traffic control. The takeoff roll was normal until passing approximately 150 knots; at that point, a flock of birds traveling from left to right passed in front of the airplane. The captain advised the first officer of the hazard, and asked him to climb over the flock. The first officer increased pitch angle, but the airplane still penetrated the flock. At the time of penetration, the nose wheel was in the air, and the main landing gear was just becoming airborne. The airplane returned to the airport without further incident. At the time of impact, N1 on the left engine dropped from 81.88 percent to 56.00 percent, and on the right engine, it dropped from 81.25 to 71.63 percent. In both cases, throttle positions remained constant. The bird's roost was not identified, and no airport procedures contributing to the accident were observed. Starlings comprised 5 percent of all the damaging animal strikes to U.S. aircraft from 1993 to 1995.",1
"The pilot checked weather, calculated en route times, and fuel required before departing. He activated his flight plan, requested and received radar traffic advisories, and climbed to an altitude of 7,500 feet msl. Once over the London Airport the right fuel tank was indicating empty, and the left tank was indicating half. During preflight, the pilot calculated that both tanks should be indicating half, but he continued the flight figuring the right gauge was faulty. Approximately 20 miles passed London, the pilot lost radio contact with ATC, and became disorientated. It was night, visibility was approximately 4 miles, and both the right and left fuel tanks indicated empty. The pilot started to doubted his initial assessment that the right gauge was faulty, so decided to make an off airport precautionary landing to a field. While on final, and approximately 50 feet above the ground, the airplane contacted wires and crashed. The pilot had a 130 hours of total flight experience. Five gallons of fuel in the left tank, and 6 gallons in the right tank were found. The commutation radio, navigation radio, transponder and alternator were tested and found to function properly.",1
"A Federal Express DC-10-10F sustained no damage during a near mid-air collision with an American International Airways Lockheed L-1011-385-1-15, 30 miles west of Salina, Kansas. The aircraft came within an estimated 1/2 mile horizontal and 0 feet vertical separation of each other. The FAA issued a Final Operational Error/Deviation Report. The report indicated that an ATC controller '...dropped the data block on FDX3207 [DC-10] without transferring communications...' to another controller. The report also indicated that another ATC controller, '...issued CKS303 [L-1011] a frequency change to 125.67 instead of the correct frequency of 127.65. CKS303 acknowledged the wrong frequency correctly by reading back 125.67.' ATC recognized that both airplanes were NORDO but were unable to reestablish radio communications, although several means were tried. The CKS303 First Officer reported he saw the DC-10 at their 8 o'clock position at 1/2 mile and same altitude. He reported he turned to the right 30 degrees. The FDX3207 pilots reported they did not see the L-1011 but felt its wake turbulence. Current FAA regulations do not require any aircraft used exclusively for cargo operations to be equipped with any version of TCAS.",1
"A Federal Express DC-10-10F sustained no damage during a near mid-air collision with an American International Airways Lockheed L-1011-385-1-15, 30 miles west of Salina, Kansas. The aircraft came within an estimated 1/2 mile horizontal and 0 feet vertical separation of each other. The FAA issued a Final Operational Error/Deviation Report. The report indicated that an ATC controller '...dropped the data block on FDX3207 [DC-10] without transferring communications...' to another controller. The report also indicated that another ATC controller, '...issued CKS303 [L-1011] a frequency change to 125.67 instead of the correct frequency of 127.65. CKS303 acknowledged the wrong frequency correctly by reading back 125.67.' ATC recognized that both airplanes were NORDO but were unable to reestablish radio communications, although several means were tried. The CKS303 First Officer reported he saw the DC-10 at their 8 o'clock position at 1/2 mile and same altitude. He reported he turned to the right 30 degrees. The FDX3207 pilots reported they did not see the L-1011 but felt its wake turbulence. Current FAA regulations do not require any aircraft used exclusively for cargo operations to be equipped with any version of TCAS.",1
"The student pilot of the accident airplane said that he maintained 65 knots and was lined up with the Runway 36 while on final approach. Just above the runway he stated he pulled back on the yoke to reduce airspeed. The stall horn sounded before touchdown. The airplane touched down a third of the way down the runway and between the centerline and the left edge of the runway. The pilot stated he felt the airplane being pushed left and the left main wheel exiting the runway. The airplane exited the left edge of the runway. The pilot stated that the airplane impacted a snow bank, tipped on its nose, and came to rest facing eastward. The student's instructor stated that winds were from 070 degrees at 5 knots. The student's logbook showed 4.8 hours total time in C-172's. The student was endorsed to solo a C-172 after 2.7 hours of flight instruction and 6 landings in a C-172. The student had accumulated 4 solo landings and 1.6 solo hours of flight in C-172's including the accident flight.",1
"N328BA was partially deiced at the ramp when they ran out of deicing fluid. The pilot asked the ramp crew to meet him at the deicing pad on the south end of the airport to finish deicing the aircraft. The pilot received taxi clearance and instructions to hold short on the taxiway, and to contact ground control. Prior to reaching the taxiway hold short lines, he received clearance to taxiway to the runway. He then realized he had forgotten to advise ramp control that he needed to deice the aircraft. According to the pilot of N328BA, at that time, he looked up and noticed that N151SA was stopped in front of him. N328BA then impacted N151SA, striking the tail section of N151SA, causing substantial damage to the left side of the fuselage extending from the cargo door aft. The pilot of N328BA stated in a telephone interview that while taxiing, he performed a brake test and observed no discrepancies. Immediately following the accident, a brake test was performed in the presence of the IIC and two FAA inspectors. The brakes were found to be operational. Toxicological examinations were performed on both pilots and the results were negative.",1
"The pilot was conducting a test flight after recent maintenance work had been performed on the engine. A thorough preflight was performed, and no water was found in the fuel. The pilot completed an extended run-up at all throttle positions, including a mock takeoff to a full stop. After an uneventful departure, the nose landing gear light failed to indicate that it was in the up and locked position. The pilot climbed to 10,000 feet and attempted to recycle the landing gear, but was unsuccessful. He over flew the airport to have a ground observer verify the landing gear's position. According to the pilot, 'about that time the engine quit without warning... The engine sputtered a second, then stopped again, with the electric fuel pump [on].' He performed an emergency gear-up landing on the runway. A postaccident engine examination was performed by an FAA inspector, including an inspection of the electrically-driven fuel pump that had recently been replaced. Fuel was present in each of the fuel injector nozzles and no engine discrepancies were observed.",1
"The pilot stated that as soon as he lifted the helicopter off the platform, he 'felt that something wasn't normal.' He added that he was '2 feet off the deck and turning to the left at the same time.' The surviving passenger stated that it felt as if 'the rear end of the aircraft either got pushed or pulled down.' He added that the nose pitched up violently and then the helicopter bounced (from side-to-side) on the platform. The pilot realized that he did not have enough room to land, and pulled up on the collective in an attempt to get away from the platform. The helicopter then rolled inverted and descended into the water on the north side of the platform. Examination of the platform revealed that the hatch door located on the west end of the platform had a handle that was bent and deformed. On the bottom side of the deformed handle there was a rolled gouge of metal. Under the gouge there was a paint chip. The helicopter's left spring-steel extension had the paint scraped off the upper outboard corner along the length of the extension. Paint analysis and geometric evaluation of the handle and the extension revealed that the paint chip found on the handle and the paint on the spring-steel extension were similar, and that the deformation on the handle coincided with the placement of the extension under the handle.",1
"The private pilot and his family were planning on departing the airport, which had a density altitude of 6,400 feet msl. The airport was reporting that the winds were from 240 degrees at 13 knots gusting to 19 knots at the time of the departure on runway 28. Eyewitnesses to the accident said the airplane appeared to be slow and not climbing in a very nose high attitude after liftoff. Additionally, the eyewitnesses all stated that it appeared that the airplane stalled with the wings wavering side to side, before the left wing dropped right before ground impact. It was later determined that the airplane lifted off approximately 2/10 mile from the departure end of the runway. According to the manufacturer, if the airplane took off with zero flaps and full power at 85 knots, the airplane should have climbed out at a 450-foot-per-minute rate of climb. The pilot estimated his airspeed at 70 knots when he lifted the airplane off the ground. The aircraft was recovered after the accident and an engine examination and operational check was conducted. Magneto to engine timing was checked and found to be within manufacturer's limits. Additionally, the throttle and mixture controls were observed to operate to their full travel limits, and continuity was established to the cockpit. The engine was run-up to full throttle with no abnormal condition noted.",1
"Prior to departure the pilot believed that his airplane contained between 30 and 40 gallons of fuel, adequate for a 15-minute-long flight to another airport where he could purchase additional fuel. The pilot reported the fuel gauge registered 40 gallons, so he departed. During initial climb upon reaching an altitude of about 400 feet above the ocean, both engines simultaneously lost power. The pilot rocked the airplane's wings and experienced a 'short surge of power.' However, it lasted only a brief moment and all engine power was again totally lost. The pilot turned toward the shoreline, reduced airspeed, and ditched about 0.25 miles off shore. The overnight tide/wave action subsequently beached most of the airplane. In the pilot's report, he did not indicate having experienced any mechanical malfunctions. The Federal Aviation Administration (FAA) coordinator examined recovered portions of the airframe and engines. In pertinent part, the FAA reported finding no physical evidence of any mechanical malfunction with the examined components. However, because of the airframe damage sustained during immersion in the salt water and the subsequent destruction to components, the Safety Board was unable to document the integrity of the fuel quantity indicator system.",1
"The airplane was destroyed when it impacted mountainous terrain at a 55-degree descent angle. The pilot was returning from a business trip where he had attempted to sell the airplane. The sale was not completed based upon the results of a pre-sale inspection. The pilot was seen as visibly upset, and departed the airport for his home field. No flight plan was filed, and the pilot was never in contact with air traffic control facilities. Radar coverage revealed that, during the approximately 35-minute flight, the airplane climbed to, and maintained 8,700 feet until about 3 minutes prior to the accident. The airplane descended, then leveled off, then descended again, and impacted terrain around an elevation of 1,750 feet. The estimated rate of the final decent was initially 1,800 feet per minute, which increased to 6,400 feet per minute. In flight, the airplane's track over the ground had been about 325 degrees magnetic. However, the swath cut through the trees at the accident site was approximately 030 degrees magnetic. The private pilot received his certificate less than 4 months earlier.",1
"The private pilot was landing the amphibious float plane on runway 08. The runway was wet, and winds were reported to be 070 degrees at 20 knots, gusting to 29 knots. The pilot told the NTSB IIC, and the FAA, that he was aware that strong 90 degree left crosswinds occur near the center of the runway during these conditions. He described using a large amount of left aileron during final approach due to the left crosswind, and intentionally landed on the left side of the 100 feet wide runway, anticipating strong gusts. The pilot said the initial landing roll felt normal, and the airplane drifted to the right during rollout. He said that as the airplane slowed, a strong left gust lifted the left wing, and the airplane departed the right side of the runway. The pilot said he did not recall any preaccident anomalies with the airplane. An air taxi pilot who departed the airport about 40 minutes earlier, reported telling the accident pilot in flight that the winds were '20 to 25 knots with gusts to at least 30. Direct crosswind from the left and that it was pretty nasty.' The pilot responded, 'doesn't sound too good.' The accident pilot had accumulated about 40 total hours of amphibious experience, all in the accident airplane.",1
"The airplane took off from Port Huron, Michigan, on April 1, 1999, at 1130 est. The airplane was scheduled to arrive in Freemont, Ohio. An employee of the pilot's company said that the pilot was going to meet a customer there. At 1230 est, the customer called the company inquiring about the pilot. The employee said that the pilot 'would have taken the shortest route, over [Lake] St. Clair, Ontario [Province], and [Lake] Erie,' to get to Freemont, Ohio. An ALNOT was issued at 1803 est. Search and rescue operations were conducted by the U. S. Coast Guard, Civil Air Patrol, and the Canadian Search and Rescue Center. The search was suspended on April 10, 1999, at 2125 est. The passenger's body was discovered on May 1, 1999, in the Lake St. Clair shipping channel, approximately 6.9 miles east of St. Clair Shores, Michigan. On July 2, 1999, the pilot's body was found in Lake St. Clair. Parts of the airplane identified from the make and model of aircraft were recovered with the bodies.",1
"During the run-up flight control checks prior to takeoff, the pilot experienced an aileron control failure. He was unable to obtain left aileron up movement. Inspection determined that the aileron had 4 degrees of up travel. Normal travel was 20 degrees +/- 2 degrees. Further inspection revealed that one of the aileron control bellcrank stop bolt/jam nut assemblies was loose allowing the stop bolt to rotate out of the threaded boss. This restricted the aileron movement. The three other stop bolt/jam nut assemblies were also inspected and were found to be loose. The airplane was a 1999 model, s/n 25, which had a total of approximately 11 hours on it at the time of the incident. In response to this incident Cessna Aircraft Company issued Special Service Project SSP99-27-02. On June 21, 1999, the Federal Aviation Administration issued Airworthiness Directive, 99-13-04, effective July 13, 1999. The AD requires '...inspecting the left and right wing aileron control bellcrank stop bolts and lock nuts for flush and tight contact with the surface of the threaded boss on each end of the yoke assemblies, and accomplishing follow-on and corrective actions, as applicable.'",1
"In a written statement, the pilot reported, 'Upon reaching Morris (C09) the windsock indicated the winds were from the NE at 8-10 knots. Entered the pattern for runway 36. As the mains were touching down, a strong gust of wind from the right blew the airplane towards the left side of the runway near the runway lights. As the nose wheel touched down the airplane pulled to the left again. In order to avoid hitting several runway lights attempted to guide the airplane between the lights into the grassy area to the left of the runway. As the airplane was being slowed in the grass, a drop off of about 5 feet into a drainage area appeared. The airplane went over the drop off. The nose strut was bent backwards and the prop struck the ground...'. The airport manager reported that the winds at C09 were 090 degrees at 10 knots with gusts to 15 knots. He also reported that one runway light, located approximately 500-1,000 feet from the threshold of runway 36, was damaged. Inspection of the aircraft revealed no mechanical anomalies.",1
"While inbound to land at Wendover Airport, the pilot was advised that the airport was temporarily closed due to equipment on the runway. The pilot observed that the fuel tank was indicating 6 to 8 gallons remaining. He circled the airport for approximately 5 to 10 minutes, at which time the fuel gauge indicated zero. He advised the airport that he needed to land immediately, and they agreed to remove the equipment. While turning onto final approach for landing, the engine quit and the aircraft landed hard short of the runway. Several engine examinations were performed following the accident. During one exam, 3 gallons of fuel was added to the fuel tank and no leaks were observed. The fuel tank was also filled with water and again no leaks were found. In a third exam, the fuel tank was filled with 4 gallons of fuel. The engine was test run and no discrepancies were observed. According to FAA records, the pilot had two previous mishaps involving improper fuel management.",1
"While in cruise flight at 24,000 feet msl, the pilot of the Piper Malibu Mirage advised Memphis Center that he had encountered icing conditions and was experiencing a fuel imbalance. The pilot requested and was cleared to deviate to the north. Subsequently, radio and radar contact were lost. A witness reported hearing the sound of the airplane's engine stop running and observed the airplane descending from the dark clouds in a nose down attitude and rotating clockwise. Residents of the area reported that the weather at the time of the accident was high ceilings with heavy rain just before and after the accident. There were thunderstorms with lightning in the area at the time of the accident. The wreckage of the airplane was scattered along an area of about four miles. The airplane was equipped with an autopilot, weather radar, and an ice protection system. The pilot had recently purchased the 1999 model airplane and had completed a Mirage initial training course. At the time of the accident the pilot had accumulated a total of 21.4 hours in the make and model of the accident aircraft. No anomalies were found with the airframe or engine that would have prevented normal operation.",1
"The 80 hour pilot collided with unmarked powerlines while maneuvering at low altitude at dusk. The operator reported that soon after departure, the pilot encountered lowering ceilings while en route to a nearby non-towered airport. The ceilings continued to drop to about 300 feet, when the pilot elected to execute a 180 degree turn and return to Grand Prairie. While en route, the pilot heard a loud pop and saw a bright flash of light. The engine sputtered, but then continued to run normally. The pilot reported that he was following the railroad tracks southbound at low altitude en route to the non-towered airport when he collided with powerlines. The location of the collision with the wires was located by the FAA inspectors with the assistance of the power company. The broken wire was found at the location where the railroad tracks make a shallow right turn. The powerline was suspended 28 feet above the tracks. Paint transfers on portions of the severed wire matched the color scheme of the wings. The damage to the right wing matches the southbound right turn scenario described by the pilot.",1
"An offshore oil platform worker was seriously injured when he walked into a helicopter's turning tail rotor blades. According to the pilot, he landed the helicopter on the platform with the tail rotor over a stairwell in order to land into the wind and avoid a crane operating on the platform. The helicopter was still 'light on the skids,' and he began to reposition the helicopter so the tail rotor would not be over the stairwell. Simultaneously, the rear passenger began to exit the helicopter without receiving authorization. The pilot terminated the repositioning by lowering the collective and rolling the throttle to the idle position. A few seconds had elapsed when the pilot felt a 'nick in the pedals.' Subsequently, one of the passengers notified the pilot that someone had walked into the tail rotor blades. The helicopter was not damaged. According to the passengers, the pilot never indicated to them that he intended to reposition the helicopter. Both passengers exited the helicopter upon hearing the engine power 'spool down.' The front seat passenger was helping the other passenger unload cargo from the helicopter and observed the worker come up the steps into the turning blades.",1
"The pilot reported that about 150 miles southwest of Monterey, the right engine made unusual noises, began to run rough, and exhibited high cylinder head temperature at the limits of the gauge. He advised Oakland Center of his position and situation, but did not declare an emergency. The pilot attempted to open the right engine cowl flap; however, it malfunctioned. He then increased fuel flow to the right engine in order to cool it and eventually had to reduce power on that side to keep it running. To compensate for the power loss in the right engine, he had to add power to the left engine. The combination of remedial actions increased the fuel consumption beyond his planned fuel burn rate. The flight attitude required by the asymmetric power also induced a periodic unporting condition in the outboard fuel tank pick-ups. The pilot said he was forced to switch to the inboard tanks until that supply was exhausted and then attempted to feed from the outboard tanks. The pilot said he was unsuccessful in maintaining consistent engine power output and was forced to ditch 20 miles short of the coastline. The pilot's VFR flight plan indicated that the total time en route would be 13 hours 10 minutes and total fuel onboard was 14 hours. The lapsed time from departure until the aircraft ditching was approximately 13 hours 12 minutes.",1
"While cruising, the pilot felt a 'bump,' and the engine began losing power. The pilot applied carburetor heat and adjusted the mixture control, but this action had no effect. The engine progressively lost all power until the propeller eventually just windmilled. The pilot made a forced landing in a wheat field. During rollout, the airplane encountered uneven terrain and nosed over. The pilot owned and operated the airplane. He reported that the airframe's total time was about 8,798.6 hours. The engine had been operated for 1,818.9 hours since being overhauled, and 133.4 hours since its last inspection. An examination of the engine revealed its No. 2 cylinder exhaust valve was fatigued and broken. No other engine related malfunctions were observed.",1
